,GP,circuit,location,country,lap,position,lap_time_ms,code,name,lap_time
109,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,47,2,94092.0,VER,Max Verstappen,00:01:34.092000
110,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,48,2,93818.0,VER,Max Verstappen,00:01:33.818000
111,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,49,2,93576.0,VER,Max Verstappen,00:01:33.576000
112,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,50,2,93893.0,VER,Max Verstappen,00:01:33.893000
113,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,51,2,93964.0,VER,Max Verstappen,00:01:33.964000
114,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,52,2,94669.0,VER,Max Verstappen,00:01:34.669000
115,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,53,2,96413.0,VER,Max Verstappen,00:01:36.413000
116,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,54,2,95073.0,VER,Max Verstappen,00:01:35.073000
117,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,55,2,94565.0,VER,Max Verstappen,00:01:34.565000
118,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,56,2,94727.0,VER,Max Verstappen,00:01:34.727000
119,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,1,4,97292.0,VER,Max Verstappen,00:01:37.292000
120,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,2,4,90572.0,VER,Max Verstappen,00:01:30.572000
121,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,3,3,90080.0,VER,Max Verstappen,00:01:30.080000
122,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,4,3,89836.0,VER,Max Verstappen,00:01:29.836000
123,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,5,2,88166.0,VER,Max Verstappen,00:01:28.166000
124,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,6,2,88397.0,VER,Max Verstappen,00:01:28.397000
125,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,7,2,89069.0,VER,Max Verstappen,00:01:29.069000
126,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,8,2,88339.0,VER,Max Verstappen,00:01:28.339000
127,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,9,2,88458.0,VER,Max Verstappen,00:01:28.458000
128,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,10,2,88382.0,VER,Max Verstappen,00:01:28.382000
129,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,11,2,88315.0,VER,Max Verstappen,00:01:28.315000
130,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,12,2,88394.0,VER,Max Verstappen,00:01:28.394000
131,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,13,2,88332.0,VER,Max Verstappen,00:01:28.332000
132,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,14,2,88336.0,VER,Max Verstappen,00:01:28.336000
133,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,15,2,88281.0,VER,Max Verstappen,00:01:28.281000
134,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,16,2,88416.0,VER,Max Verstappen,00:01:28.416000
135,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,17,2,133866.0,VER,Max Verstappen,00:02:13.866000
136,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,18,2,92604.0,VER,Max Verstappen,00:01:32.604000
137,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,19,2,87989.0,VER,Max Verstappen,00:01:27.989000
138,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,20,2,87750.0,VER,Max Verstappen,00:01:27.750000
139,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,21,2,87531.0,VER,Max Verstappen,00:01:27.531000
140,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,22,2,87392.0,VER,Max Verstappen,00:01:27.392000
141,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,23,2,87152.0,VER,Max Verstappen,00:01:27.152000
142,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,24,2,87079.0,VER,Max Verstappen,00:01:27.079000
143,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,25,2,87237.0,VER,Max Verstappen,00:01:27.237000
144,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,26,2,87098.0,VER,Max Verstappen,00:01:27.098000
145,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,27,2,87089.0,VER,Max Verstappen,00:01:27.089000
